name,name_clean,text,text_length,label,label_encoded
Eye Lasher Accessories,eye lasher accessories,eye accessories download app now medicine,6,general_medicine,0
Warts&Anti-Corn Preparations,warts&anti-corn preparations,anti download app now medicine,5,general_medicine,0
GLasses,glasses,download app now medicine,4,general_medicine,0
Skin Care,skin care,skin care download app now medicine,6,general_medicine,0
Braces & Supports,braces & supports,download app now medicine,4,general_medicine,0
Insulins,insulins,download app now medicine,4,general_medicine,0
Oral Care,oral care,care download app now medicine,5,general_medicine,0
Diabetes Care,diabetes care,care download app now skin care,6,general_medicine,0
Mom Skin Care,mom skin care,mom skin care download app now medicine,7,general_medicine,0
Nappy Care & diaper cream,nappy care & diaper cream,care cream download app now medicine,6,general_medicine,0
Blank,blank,download app now medicine,4,general_medicine,0
Antacids,antacids,download app now medicine,4,general_medicine,0
Baby Care,baby care,baby care download app now medicine,6,general_medicine,0
Anti-Hyper Thyroidism,anti-hyper thyroidism,anti download app now medicine,5,general_medicine,0
Scabies & Lice,scabies & lice,download app now medicine,4,general_medicine,0
Baby Milk,baby milk,baby download app now medicine,5,general_medicine,0
Topical Anti- Biotic,topical anti- biotic,topical anti biotic download app now medicine,7,general_medicine,0
Anti-Dote,anti-dote,anti download app now medicine,5,general_medicine,0
Cancer Therapy,cancer therapy,download app now medicine,4,general_medicine,0
Nutrients&Blood Electrolytes,nutrients&blood electrolytes,blood download app now medicine,5,general_medicine,0
Kids Toothbrush,kids toothbrush,download app now medicine,4,general_medicine,0
Hand Care & Foot,hand care & foot,hand care foot download app now medicine,7,general_medicine,0
Endocrine System,endocrine system,system download app now medicine,5,general_medicine,0
Teeth Whitening,teeth whitening,download app now medicine,4,general_medicine,0
Anti-Tussive,anti-tussive,anti download app now medicine,5,general_medicine,0
Insoles & Foot Health,insoles & foot health,foot health download app now medicine,6,general_medicine,0
Eye Cream & Contour,eye cream & contour,eye cream download app now medicine,6,general_medicine,0
Acne Preparations,acne preparations,download app now medicine,4,general_medicine,0
First Aid & Disposables,first aid & disposables,aid download app now medicine,5,general_medicine,0
Pain Management / Heating Pads,pain management / heating pads,download app now medicine,4,general_medicine,0
Mydriatics,mydriatics,download app now medicine,4,general_medicine,0
Haemostatics/Coagulants,haemostatics/coagulants,download app now medicine,4,general_medicine,0
Anabolic,anabolic,download app now medicine,4,general_medicine,0
Vitamins &/Or Minerals,vitamins &/or minerals,download app now medicine,4,general_medicine,0
Anti-Coagulants,anti-coagulants,anti download app now medicine,5,general_medicine,0
Anti-Arrhythmics,anti-arrhythmics,anti download app now medicine,5,general_medicine,0
Other Anti-Rheumatics,other anti-rheumatics,anti download app now medicine,5,general_medicine,0
Mytonics,mytonics,download app now medicine,4,general_medicine,0
Lipids Regulation.,lipids regulation.,download app now medicine,4,general_medicine,0
Teeth & Gum Care,teeth & gum care,care download app now medicine,5,general_medicine,0
Psoriasis/Eczema,psoriasis/eczema,download app now medicine,4,general_medicine,0
Alzheimer Treatment,alzheimer treatment,treatment download app now medicine,5,general_medicine,0
Body Scrub,body scrub,body download app now medicine,5,general_medicine,0
Nocturnal Enuresis,nocturnal enuresis,download app now medicine,4,general_medicine,0
Blood Pressure Monitors,blood pressure monitors,blood download app now skin care,6,general_medicine,0
Burns/Wounds,burns/wounds,download app now medicine,4,general_medicine,0
Baby Accessories,baby accessories,baby accessories download app now medicine,6,general_medicine,0
Deodrant Cream,deodrant cream,deodrant cream download app now medicine,6,general_medicine,0
Home Care&Hygienics,home care&hygienics,care download app now medicine,5,general_medicine,0
Skin Cleansers,skin cleansers,skin download app now medicine,5,general_medicine,0
Body Fresheners,body fresheners,body download app now medicine,5,general_medicine,0
Ovulation Check,ovulation check,download app now medicine,4,general_medicine,0
Anti-Biotics,anti-biotics,anti download app now medicine,5,general_medicine,0
Anthelmintics.,anthelmintics.,download app now medicine,4,general_medicine,0
Varicose Veins,varicose veins,download app now medicine,4,general_medicine,0
Hand Moisturizers,hand moisturizers,hand moisturizers download app now medicine,6,general_medicine,0
Nose Preparation,nose preparation,download app now medicine,4,general_medicine,0
Medical Soap,medical soap,medical download app now medicine,5,general_medicine,0
Bath & Body,bath & body,bath body download app now medicine,6,general_medicine,0
Baby Skin Care,baby skin care,baby skin care download app now medicine,7,general_medicine,0
Baby Sun Care,baby sun care,baby sun care download app now medicine,7,general_medicine,0
Hair Styling Electronics,hair styling electronics,hair download app now medicine,5,general_medicine,0
Glaucoma Treatment,glaucoma treatment,treatment download app now medicine,5,general_medicine,0
Contact Lens Care,contact lens care,care download app now medicine,5,general_medicine,0
Anti-Flatulence,anti-flatulence,anti download app now medicine,5,general_medicine,0
Anaemia,anaemia,download app now medicine,4,general_medicine,0
Electric Hair Removal Machines,electric hair removal machines,hair download app now medicine,5,general_medicine,0
Immunological System,immunological system,system download app now medicine,5,general_medicine,0
Sun Care,sun care,sun care download app now medicine,6,general_medicine,0
Anti-Diarrhoeal,anti-diarrhoeal,anti download app now medicine,5,general_medicine,0
Toothbrush,toothbrush,download app now medicine,4,general_medicine,0
Face Masks & Gloves,face masks & gloves,face download app now medicine,5,general_medicine,0
Weight Control & Fitness,weight control & fitness,download app now medicine,4,general_medicine,0
Alkylating Agent,alkylating agent,download app now medicine,4,general_medicine,0
Anti- Histamines&Anti-Inflam,anti- histamines&anti-inflam,anti anti download app now medicine,6,general_medicine,0
Medical Supplies,medical supplies,medical supplies download app now skin care,7,general_medicine,0
Baby Toiletries & Bath Accessories,baby toiletries & bath accessories,baby bath accessories download app now medicine,7,general_medicine,0
Neurotonic,neurotonic,download app now medicine,4,general_medicine,0
