epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.962313175201416,0.6413356065750122,0.001,1.0,0.4090725779533386
1,0.9997833967208862,0.4636020064353943,0.001,1.0,0.4168201982975006
2,0.9997833967208862,0.4439641535282135,0.001,1.0,0.4004237949848175
3,1.0,0.4319899082183838,0.001,1.0,0.3983822762966156
4,1.0,0.4220408797264099,0.001,1.0,0.39301326870918274
5,1.0,0.41304531693458557,0.001,1.0,0.3892752230167389
6,1.0,0.4075530469417572,0.001,1.0,0.38228145241737366
7,1.0,0.40430697798728943,0.001,1.0,0.3761340081691742
8,1.0,0.4026182293891907,0.001,1.0,0.3761308789253235
9,1.0,0.3985472619533539,0.001,1.0,0.37542393803596497
10,1.0,0.3956597149372101,0.001,1.0,0.3720279633998871
