name,name_clean,text,text_length,label,label_encoded,has_image,image_name
Body Care,body care,body care download app now medicine heart,7,heart,0,True,heart\body_care_1.jpg
Scars & Stretchmarks,scars & stretchmarks,download app now medicine heart,5,heart,0,True,heart\scars_stretchmarks_1.jpg
Body Scrub,body scrub,body download app now medicine heart,6,heart,0,True,heart\body_scrub_1.jpg
Body Moisturizers,body moisturizers,body moisturizers download app now medicine heart,7,heart,0,True,heart\body_moisturizers_1.jpg
Hand Care & Foot,hand care & foot,hand care foot download app now medicine heart,8,heart,0,True,heart\hand_care_foot_1.jpg
Foot Care,foot care,foot care download app now medicine heart,7,heart,0,True,heart\foot_care_1.jpg
Hand Moisturizers,hand moisturizers,hand moisturizers download app now medicine heart,7,heart,0,True,heart\hand_moisturizers_1.jpg
Face Care,face care,face care download app now medicine heart,7,heart,0,True,heart\face_care_1.jpg
Skin Cleansers,skin cleansers,skin download app now medicine heart,6,heart,0,True,heart\skin_cleansers_1.jpg
Skin Moisturizers,skin moisturizers,skin moisturizers download app now medicine heart,7,heart,0,True,heart\skin_moisturizers_1.jpg
Sun Care,sun care,sun care download app now medicine heart,7,heart,0,True,heart\sun_care_1.jpg
Facial Toners & Serums,facial toners & serums,facial download app now medicine heart,6,heart,0,True,heart\facial_toners_serums_1.jpg
Eye Cream & Contour,eye cream & contour,eye cream download app now medicine heart,7,heart,0,True,heart\eye_cream_contour_1.jpg
Makeup Removers,makeup removers,download app now medicine heart,5,heart,0,True,heart\makeup_removers_1.jpg
Facial Masks & Scrubs,facial masks & scrubs,facial masks download app now medicine heart,7,heart,0,True,heart\facial_masks_scrubs_1.jpg
Skin Care,skin care,skin care download app now medicine heart,7,heart,0,True,heart\skin_care_1.jpg
Face Massagers & Derma Rollers,face massagers & derma rollers,face download app now medicine heart,6,heart,0,True,heart\face_massagers_derma_rollers_1.jpg
Lip Care,lip care,lip care download app now medicine heart,7,heart,0,True,heart\lip_care_1.jpg
Skin Whitening,skin whitening,skin whitening download app now medicine heart,7,heart,0,True,heart\skin_whitening_1.jpg
Acne Preparations,acne preparations,acne preparations download app now medicine heart,7,heart,0,True,heart\acne_preparations_1.jpg
Anti-Ageing,anti-ageing,anti ageing download app now medicine heart,7,heart,0,True,heart\anti_ageing_1.jpg
Baby Nutrition,baby nutrition,baby nutrition download app now medicine heart,7,heart,0,True,heart\baby_nutrition_1.jpg
Baby Feeding Accessories,baby feeding accessories,baby accessories download app now medicine heart,7,heart,0,True,heart\baby_feeding_accessories_1.jpg
Baby Food,baby food,baby food download app now medicine heart,7,heart,0,True,heart\baby_food_1.jpg
Nutrition Supplements,nutrition supplements,nutrition download app now medicine heart,6,heart,0,True,heart\nutrition_supplements_1.jpg
Baby Milk,baby milk,baby download app now medicine heart,6,heart,0,True,heart\baby_milk_1.jpg
Baby Care,baby care,baby care download app now medicine heart,7,heart,0,True,heart\baby_care_1.jpg
Baby Skin Care,baby skin care,baby skin care download app now medicine heart,8,heart,0,True,heart\baby_skin_care_1.jpg
Nappy Care & diaper cream,nappy care & diaper cream,care cream download app now medicine heart,7,heart,0,True,heart\nappy_care_diaper_cream_1.jpg
Kids Toothpaste,kids toothpaste,kids toothpaste download app now medicine heart,7,heart,0,True,heart\kids_toothpaste_1.jpg
Baby Sun Care,baby sun care,baby sun care download app now medicine heart,8,heart,0,True,heart\baby_sun_care_1.jpg
Baby Health Care,baby health care,baby health care download app now medicine heart,8,heart,0,True,heart\baby_health_care_1.jpg
Baby Toiletries & Bath Accessories,baby toiletries & bath accessories,baby bath accessories download app now medicine heart,8,heart,0,True,heart\baby_toiletries_bath_accessories_1.jpg
Baby Accessories,baby accessories,baby accessories download app now medicine heart,7,heart,0,True,heart\baby_accessories_1.jpg
Medical Earrings,medical earrings,medical download app now medicine heart,6,heart,0,True,heart\medical_earrings_1.jpg
Kids Toothbrush,kids toothbrush,kids toothbrush download app now medicine heart,7,heart,0,True,heart\kids_toothbrush_1.jpg
Baby Equipment& Pacifiers,baby equipment& pacifiers,baby download app now medicine heart,6,heart,0,True,heart\baby_equipment_pacifiers_1.jpg
Mom Care,mom care,mom care download app now medicine heart,7,heart,0,True,heart\mom_care_1.jpg
Breastfeeding Supplies,breastfeeding supplies,supplies download app now medicine heart,6,heart,0,True,heart\breastfeeding_supplies_1.jpg
Pregnancy Check,pregnancy check,check download app now medicine heart,6,heart,0,True,heart\pregnancy_check_1.jpg
Ovulation Check,ovulation check,check download app now medicine heart,6,heart,0,True,heart\ovulation_check_1.jpg
Mom Skin Care,mom skin care,mom skin care download app now medicine heart,8,heart,0,True,heart\mom_skin_care_1.jpg
