product_name,category,subcategory,image_index,image_url,local_file,downloaded,product_url
Body Care,Skin Care,,1,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602540.webp,seif_output\images\body_care_1.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,2,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612871.webp,seif_output\images\body_care_2.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,3,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612870.webp,seif_output\images\body_care_3.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,4,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609037.webp,seif_output\images\body_care_4.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,5,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602142.webp,seif_output\images\body_care_5.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,6,https://cdn.supercommerce.io/seif-pharmacies/uploads/602143-1773396103.webp,seif_output\images\body_care_6.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,7,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602146.webp,seif_output\images\body_care_7.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,8,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602145.webp,seif_output\images\body_care_8.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,9,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608247.webp,seif_output\images\body_care_9.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,10,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602144.webp,seif_output\images\body_care_10.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,11,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404164.webp,seif_output\images\body_care_11.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,12,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/34027.webp,seif_output\images\body_care_12.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,13,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/57243-1762157036.webp,seif_output\images\body_care_13.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,14,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616377-1756631632.webp,seif_output\images\body_care_14.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,15,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610156.webp,seif_output\images\body_care_15.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,16,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404166.webp,seif_output\images\body_care_16.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,17,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/321924.webp,seif_output\images\body_care_17.webp,True,https://seif-online.com/en/product/skin-care/body-care
Body Care,Skin Care,,18,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610157.webp,seif_output\images\body_care_18.webp,True,https://seif-online.com/en/product/skin-care/body-care
