name,price,sku,brand,category,subcategory,description,rating,availability,image_urls,product_url
<<<<<<< HEAD
Body Care,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602540.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612871.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612870.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609037.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602142.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/602143-1773396103.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602146.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602145.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608247.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602144.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404164.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/34027.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/57243-1762157036.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616377-1756631632.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610156.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404166.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/321924.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610157.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/615492-1759067774.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404161.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616378-1756631793.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/618730-1775473369.webp,https://seif-online.com/en/product/skin-care/body-care
Scars & Stretchmarks,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/57243-1762157036.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610156.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610157.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616196-1757583397.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/614725.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616198-1757583574.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/605365.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609845.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609846.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/396067.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/389160.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609843.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610373.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609848.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610050.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609842.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610372.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/262477.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/383520.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/604907.webp,https://seif-online.com/en/product/skin-care/body-care/scars-stretchmarks
Body Scrub,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404164.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404166.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404161.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/303449.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/338516.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610307.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/227581.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/384205.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404163.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/120828.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/120822.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610662.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610663.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610661.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/120826.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/601542.webp,https://seif-online.com/en/product/skin-care/body-care/body-scrub
Body Moisturizers,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602540.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612871.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612870.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609037.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602142.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/602143-1773396103.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602146.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602145.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608247.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602144.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/34027.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616377-1756631632.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/321924.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/615492-1759067774.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616378-1756631793.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/618730-1775473369.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/361918.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/618731-1775465389.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/361919.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/606664.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/30459.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610256-1761141282.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610257-1761141319.webp,https://seif-online.com/en/product/skin-care/body-care/body-moisturizers
Hand Care & Foot,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612044.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/157178.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607051.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610430.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/618110-1768487357.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/611965-1757573152.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/105493.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607183.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607182.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/51874.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/615909-1754398919.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/321870-1759065465.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/617024-1758095225.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/601152.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/385069.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609465.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616618-1756039628.webp,https://seif-online.com/en/product/skin-care/hand-care-foot
Foot Care,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/157178.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607051.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610430.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/105493.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607183.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607182.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/51874.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/604338.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607891.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610455.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610457.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609166.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/7922.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610453.webp,https://seif-online.com/en/product/skin-care/hand-care-foot/foot-care
Hand Moisturizers,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612044.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/618110-1768487357.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/611965-1757573152.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/615909-1754398919.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/321870-1759065465.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/617024-1758095225.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/601152.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/385069.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609465.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616618-1756039628.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609466.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610454.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/613516-1774335039.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609464.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/613524-1774336511.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/173656.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609462.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/373859.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/373861.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/613520-1774336162.webp,https://seif-online.com/en/product/skin-care/hand-care-foot/hand-moisturizers
Face Care,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/344484.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/7934.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608246.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610572.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/7935.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608244.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610170.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/401153.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/356933.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/356938.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608245.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610172.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/377369-1756644251.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610573.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610571.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/614764.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/609396.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/11811.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/52626 webp-1754315206.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612022.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608668.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/615117.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/616807-1774953079.webp,https://seif-online.com/en/product/skin-care/face-care
Skin Cleansers,,,Apply,Medicine,,Download App Now,,,https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/356938.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612022.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/615117.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/601108.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/613356-1761482124.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/615152-1757839910.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404145.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608226.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/611556-1755779594.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608712.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/389948.webp|https://cdn.supercommerce.io/seif-pharmacies/uploads/616096-1774723510.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608387.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/610413.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/613357-1761482151.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/65120.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/602682.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/616507-1757575996.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/397570.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/607818.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/404144.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/612376-1758026356.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/356934.webp|https://masterapi.witheldokan.com/storage/seif-pharmacies/uploads/608388-1757572063.webp,https://seif-online.com/en/product/skin-care/face-care/skin-cleansers
